Track,Artist,Album,Release_Year,Duration,Time_Signature,Danceability,Energy,Track_Key,Loudness,Song_Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Popularity_Category,Energy_Range,Danceability_Range,Loudness_Range,Liveness_Range
Behind These Hazel Eyes,Kelly Clarkson,Breakaway,2005,198973,4,1.0,1.0,9,-5.0,1,0.0,0.0,0.0,0.0,0.0,90.0,60,Medium,High,High,High,Low
Better Together,Luke Combs,What You See Is What You Get,2020,219573,4,1.0,0.0,0,-12.0,1,0.0,1.0,0.0,0.0,1.0,138.0,74,Medium,Low,High,Medium,Low
Better When I'm Dancin',Meghan Trainor,Better When I'm Dancin',2015,176266,4,1.0,1.0,2,-7.0,1,0.0,1.0,0.0,0.0,1.0,128.0,73,Medium,High,High,High,Low
Big Energy,Latto,Big Energy,2021,173182,4,1.0,1.0,11,-4.0,0,0.0,0.0,0.0,0.0,1.0,106.0,65,Medium,High,High,High,Low
Big Green Tractor,Jason Aldean,Wide Open,2009,204200,4,1.0,1.0,4,-5.0,1,0.0,1.0,0.0,0.0,1.0,137.0,67,Medium,High,High,High,Low
BIG MAD,Ktlyn,BIG MAD,2023,143111,4,1.0,1.0,8,-6.0,1,0.0,0.0,0.0,0.0,0.0,102.0,57,Medium,High,High,High,Low
BIG PURR (Prrdd) (feat. Pooh Shiesty),Coi Leray,BIG PURR (Prrdd),2021,116760,4,1.0,0.0,1,-9.0,1,0.0,0.0,0.0,0.0,0.0,140.0,46,Low,Low,High,High,Low
Bikini Bottom,Ice Spice,Bikini Bottom,2023,106666,3,1.0,1.0,8,-5.0,1,0.0,0.0,0.0,0.0,1.0,162.0,60,Medium,High,High,High,Low
Blank Space,Taylor Swift,1989,2014,231826,4,1.0,1.0,5,-5.0,1,0.0,0.0,0.0,0.0,1.0,96.0,70,Medium,High,High,High,Low
Blick Blick (with Nicki Minaj),Coi Leray,Blick Blick,2022,178413,4,1.0,1.0,8,-4.0,0,0.0,0.0,0.0,0.0,1.0,140.0,51,Medium,High,High,High,Low
